date,x,y,NDVI,day,irradiance,temp
2019-04-15,735908.7729634214,5231998.886650478,0.242148756980896,day_of,558.5,53.11
2019-04-15,735928.5208620214,5231998.886650478,0.19467955827713013,day_of,558.5,53.11
2019-04-15,735948.2687606212,5231998.886650478,0.223819300532341,day_of,558.5,53.11
2019-04-15,735968.0166592211,5231998.886650478,0.19487795233726501,day_of,558.5,53.11
2019-04-15,735987.7645578211,5231998.886650478,0.21389107406139374,day_of,558.5,53.11
2019-04-15,736007.512456421,5231998.886650478,0.13903936743736267,day_of,558.5,53.11
2019-04-15,736027.2603550209,5231998.886650478,0.1443185955286026,day_of,558.5,53.11
2019-04-15,736047.0082536208,5231998.886650478,0.14542190730571747,day_of,558.5,53.11
2019-04-15,736066.7561522208,5231998.886650478,0.13256382942199707,day_of,558.5,53.11
2019-04-15,736086.5040508206,5231998.886650478,0.14234620332717896,day_of,558.5,53.11
2019-04-15,736106.2519494205,5231998.886650478,0.12256669253110886,day_of,558.5,53.11
2019-04-15,736125.9998480205,5231998.886650478,0.13665778934955597,day_of,558.5,53.11
2019-04-15,735711.2939774223,5231979.14327784,0.2788008451461792,day_of,558.5,53.11
2019-04-15,735731.0418760222,5231979.14327784,0.26747196912765503,day_of,558.5,53.11
2019-04-15,735750.7897746221,5231979.14327784,0.25922632217407227,day_of,558.5,53.11
